BIC Scores from Folder,BIC Values from Specific File,MIX_MF
12093.6564,12185.773,-92.1166
5862.1462,5874.613,-12.4668
1625.5351,1637.416,-11.8809
15445.2324,15497.863,-52.6306
5415.7785,5422.998,-7.2195
15974.4545,16046.173,-71.7185
7441.2559,7482.041,-40.7851
10231.3402,10256.993,-25.6528
3584.5254,3615.81,-31.2846
5522.5693,5551.514,-28.9447
6165.1125,6172.848,-7.7355
6162.9208,6173.232,-10.3112
4075.5355,4089.903,-14.3675
2152.337,2159.458,-7.121
2059.0645,2071.014,-11.9495
2245.6552,2245.515,0.1402
10297.2826,10306.27,-8.9874
3469.5574,3475.124,-5.5666
15821.8392,15875.429,-53.5898
6372.0791,6433.699,-61.6199
6378.724,6388.637,-9.913
7006.4182,7127.307,-120.8888
17102.4212,17235.967,-133.5458
3691.9683,3754.206,-62.2377
14064.975,14106.966,-41.991
1221.1976,1236.833,-15.6354
14366.5016,14448.236,-81.7344
1287.1371,1387.974,-100.8369
5819.7428,5873.191,-53.4482
3206.1577,3228.468,-22.3103
8958.5362,9025.181,-66.6448
8312.234,8393.714,-81.48
3961.336,3979.86,-18.524
7147.2317,7235.832,-88.6003
11905.6692,11971.274,-65.6048
3937.6205,3953.623,-16.0025
9501.1483,9568.808,-67.6597
3159.1094,3194.776,-35.6666
4535.7905,4549.042,-13.2515
5275.0943,5279.717,-4.6227
8122.2428,8162.588,-40.3452
5122.034,5142.85,-20.816
19836.8819,19987.255,-150.3731
6662.2659,6717.322,-55.0561
5235.0251,5260.916,-25.8909
17024.7058,17139.231,-114.5252
4368.7074,4404.063,-35.3556
2221.3828,2241.392,-20.0092
6674.4354,6693.348,-18.9126
7207.7232,7211.009,-3.2858
7192.4015,7347.166,-154.7645
1865.1687,1894.533,-29.3643
6389.202,6424.917,-35.715
16277.2321,16393.611,-116.3789
18909.0579,18988.691,-79.6331
5192.7179,5246.243,-53.5251
19281.3991,19354.593,-73.1939
4315.71,4344.933,-29.223
2085.4189,2088.523,-3.1041
10362.7636,10384.423,-21.6594
14507.1297,14560.561,-53.4313
9380.5336,9431.944,-51.4104
9347.3887,9391.619,-44.2303
5649.2465,5655.479,-6.2325
14313.8328,14362.799,-48.9662
16217.7584,16274.679,-56.9206
12835.7046,12862.454,-26.7494
11624.4739,11702.988,-78.5141
9442.0947,9475.222,-33.1273
13200.9989,13307.909,-106.9101
